R_D,IG_TS,OG_TS,TRK_ID,TRK_KEY,CHASSIS_NO,BAT_NO,ITEM_NO,ISO,OPERATION_METHOD,EIR_ID,LANE_NO_IN,LANE_NO_OUT
R,45474.02715277778,45474.05689814815,SM-17,25735839,51R15727,3036,CAIU7939374,4500,HANG,R38606236,B04,B08
D,45474.02732638889,45474.035520833335,61C40599,25735840,,40599,MSKU5889200,2200,CAPR,E38606085,E04,E01
D,45474.02732638889,45474.035520833335,61C40599,25735840,,40599,MRKU7780140,2200,CAPR,E38606087,E04,E01
R,45474.0278125,45474.05709490741,70H00789,25735841,70R01174,00789,SUDU1830450,2200,HBCX,R38606237,B04,G04
R,45474.02784722222,45474.037303240744,65C03956,25735842,65R00949,03956,TRIU6762048,2230,HBCX,R38606238,E04,E01
R,45474.027962962966,45474.05900462963,SM-75,25735843,,38020,TEMU3569948,2200,HANG,R38588919,D02,D02
R,45474.027962962966,45474.05900462963,SM-75,25735843,,38020,TLLU3161896,2200,HANG,R38588920,D02,D02
R,45474.0281712963,45474.05814814815,50H26097,25735844,51R21445,26097,SEGU9601280,2230,HBCX,R38606239,D02,B08
R,45474.0281712963,45474.05814814815,50H26097,25735844,51R21445,26097,SEGU9833943,2230,HBCX,R38606240,D02,B08
R,45474.028287037036,45474.05262731481,50H43687,25735845,,43687,TCKU3503381,2200,NHAR,R38606067,E04,G04
R,45474.02841435185,45474.034780092596,51C14455,25735846,51R25376,14455,STXU2032262,2200,HBCX,R38606242,A02,A05
D,45474.02866898148,45474.05195601852,51D63933,25735847,51R32559,63933,TCLU3704207,2200,GTHA,D38606243,G02,G04
R,45474.02893518518,45474.04440972222,85E00137,25735848,,00137,EISU2216180,2200,NHAR,R38606235,E04,G04
R,45474.02900462963,45474.04304398148,50LD19243,25735849,50R03960,19243,YMMU6001737,4500,HBCX,R38606246,A02,G04
R,45474.02931712963,45474.05061342593,51D37948,25735850,51R32833,37948,CMAU2837500,2200,HBCX,R38606248,A02,G04
R,45474.02953703704,45474.035104166665,70H03477,25735851,70R00707,03477,CCLU3826214,2200,HBCX,R38606250,A02,B08
D,45474.02982638889,45474.033587962964,51C19849,25735852,,19849,CAAU5742228,4500,CAPR,E38606232,E04,E01
D,45474.03009259259,45474.06449074074,51C61309,25735853,51R15092,61309,OOLU2191541,2200,GTHA,D38606251,E04,B08
R,45474.03009259259,45474.06449074074,51C61309,25735853,51R15092,61309,TGBU2360608,2200,NHAR,R38606241,E04,B08
D,45474.030625,45474.03596064815,50LD19227,25735854,,19227,WHSU2587526,2200,CAPR,E38606245,E04,E01
D,45474.030694444446,45474.04462962963,51C15678,25735855,50RM00006,15678,SNBU2306616,2200,GTHA,D38606244,B04,A05
