R_D,IG_TS,OG_TS,TRK_ID,TRK_KEY,CHASSIS_NO,BAT_NO,ITEM_NO,ISO,OPERATION_METHOD,EIR_ID,LANE_NO_IN,LANE_NO_OUT
D,45597.00819444445,45597.022986111115,77F00957,26882716,51R12514,00957,YMMU6571160,4500,GTHA,D40434099,A01,B08
D,45597.00822916667,45597.02333333333,51C72199,26882717,51R18185,72199,CICU2324725,4500,GTHA,D40434102,B02,B09
D,45597.00829861111,45597.01773148148,50H02428,26882718,51R50749,02428,TXGU6934081,4500,GTHA,D40434103,A03,A05
R,45597.008356481485,45597.03662037037,60H12930,26882719,60RM00039,12930,FBIU5599332,4530,HBCX,R40434105,D02,B09
D,45597.00837962963,45597.02726851852,51C64696,26882720,51R00581,64696,SEGU1659429,2200,GTHA,D40434101,B03,G04
R,45597.00850694445,45597.0216087963,51C93772,26882721,51R09564,93772,SNBU8244018,4500,HBCX,R40434106,A01,A06
D,45597.00853009259,45597.02799768518,60H00263,26882722,60R04980,00263,MRSU4319271,4500,GTHA,D40434104,G02,B08
D,45597.00866898148,45597.01872685185,50H12858,26882723,51R14344,12858,FFAU5970983,4500,GTHA,D40434107,A03,A05
D,45597.00881944445,45597.02327546296,51C18718,26882724,51R25250,18718,TXGU6767209,4500,GTHA,D40434108,A03,A05
D,45597.00885416667,45597.02048611111,70H01085,26882725,70R01912,01085,WHSU2736553,2200,GTHA,D40434109,A01,A06
R,45597.00898148148,45597.019953703704,50H60080,26882726,50RM04952,60080,JTAU1044080,2200,HBCX,R40434113,G02,E09
D,45597.00898148148,45597.0596875,51C95048,26882727,51R34464,95048,SEKU9167862,4530,CAPR,E40434641,D02,E09
R,45597.00898148148,45597.0596875,51C95048,26882727,51R34464,95048,CAIU5499110,4530,HBCX,R40434112,D02,E09
D,45597.00900462963,45597.0265162037,51C24092,26882728,51R16824,24092,DRYU2742228,2200,GTHA,D40434111,B05,A05
R,45597.009097222224,45597.04657407408,70H04436,26882729,70R02229,04436,TCKU3034330,2200,HBCX,R40434115,A01,E09
D,45597.009097222224,45597.04657407408,70H04436,26882729,70R02229,04436,WHSU2317958,2200,CAPR,E40434441,A01,E09
R,45597.00912037037,45597.02585648148,70H04407,26882730,70R02234,04407,TRLU9683501,2200,HBCX,R40434114,A03,A06
D,45597.00913194445,45597.067141203705,62C03392,26882731,62R00707,03392,CSLU2300571,2200,CAPR,E40434408,B02,E09
R,45597.00913194445,45597.067141203705,62C03392,26882731,62R00707,03392,IAAU2763942,2200,HBCX,R40434116,B02,E09
D,45597.00913194445,45597.067141203705,62C03392,26882731,62R00707,03392,OOLU0225299,2200,CAPR,E40434400,B02,E09
R,45597.00913194445,45597.030277777776,50H47309,26882732,50R05189,47309,FBIU5386384,4530,HBCX,R40434117,D02,B08
R,45597.009305555555,45597.02061342593,51D44612,26882733,51R50543,44612,TWCU2134762,2200,HBCX,R40434119,B03,A06
R,45597.009305555555,45597.02061342593,51D44612,26882733,51R50543,44612,TWCU2195813,2200,HBCX,R40434118,B03,A06
D,45597.00944444445,45597.039722222224,81C06013,26882734,51R04054,06013,SZLU9853440,4530,GTHA,D40434120,A01,B08
R,45597.00952546296,45597.03748842593,50H21772,26882735,50RM01272,21772,DYLU2150393,2200,HBCX,R40434121,B03,B09
D,45597.00952546296,45597.03748842593,50H21772,26882735,50RM01272,21772,HMMU2163239,2200,GTHA,D40434130,B03,B09
R,45597.009560185186,45597.01925925926,51D05869,26882736,61R1129,05869,BSIU2904180,2200,HBCX,R40434123,G02,E09
R,45597.00954861111,45597.07582175926,51D05282,26882737,53R0787,05282,FSCU5863148,4530,HBCX,R40434122,D02,A06
D,45597.00954861111,45597.07582175926,51D05282,26882737,53R0787,05282,CSNU7265608,4500,GTHA,D40434124,D02,A06
R,45597.009791666664,45597.02648148148,50H24993,26882738,50RM00245,24993,WHSU2344531,2200,HBCX,R40434126,B05,A05
R,45597.00987268519,45597.02829861111,51C75220,26882739,51R18927,75220,TGBU7190103,4500,HBCX,R40434127,A03,E09
R,45597.0099537037,45597.021782407406,61C18389,26882740,60R03239,18389,SUDU7970994,2200,HBCX,R40434129,B05,B08
D,45597.010046296295,45597.04461805556,77C14473,26882741,,14473,YSDU4144034,4200,CAPR,E40434057,E02,E09
D,45597.010092592594,45597.03575231481,51C16922,26882742,50R04429,16922,GESU6072445,4500,GTHA,D40434128,B02,A06
D,45597.01023148148,45597.0627662037,50H45380,26882743,50RM03247,45380,FCIU6399979,2200,GTHA,D40434089,B02,A06
R,45597.0103125,45597.026400462964,50H60328,26882744,51R22683,60328,TEMU8577355,4500,HBCX,R40434135,A01,B08
D,45597.01033564815,45597.03633101852,51D45681,26882745,50RM03037,45681,SKHU9928730,4500,GTHA,D40434131,G02,B08
D,45597.010405092595,45597.03622685185,70H03378,26882746,70R02206,03378,BMOU1203350,2200,GTQC,D40434134,G02,A05
D,45597.01043981482,45597.03068287037,50H16851,26882747,50RM04178,16851,WHLU5629260,4500,GTHA,D40434132,A03,A06
D,45597.01048611111,45597.055914351855,51C53874,26882748,51R32149,53874,OOLU3946046,2230,GTHA,D40434133,B03,A05
R,45597.01052083333,45597.026458333334,50H25487,26882749,51R15320,25487,CMAU5688272,4500,HBCX,R40434138,B05,A06
D,45597.01060185185,45597.036203703705,50H20526,26882750,51R27483,20526,EITU0072236,2200,GTHA,D40434136,A03,B09
D,45597.01060185185,45597.02662037037,50H16411,26882751,51R40524,16411,OOCU7790361,4500,GTHA,D40434137,B02,G04
R,45597.01069444444,45597.024097222224,68H01981,26882752,68R00119,01981,OOLU3960110,2230,HBCX,R40434139,G02,G04
