R_D,IG_TS,OG_TS,TRK_ID,TRK_KEY,CHASSIS_NO,BAT_NO,ITEM_NO,ISO,OPERATION_METHOD,EIR_ID,LANE_NO_IN,LANE_NO_OUT
D,45536.010405092595,45536.040347222224,51C40923,26323869,51R12156,40923,SEKU4080841,4500,GTHA,D39539180,B02,B08
R,45536.01068287037,45536.020902777775,50H05777,26323870,50RM03290,05777,GAOU6848807,4500,HBCX,R39539182,G02,G04
D,45536.01096064815,45536.02193287037,51C71723,26323871,51R05690,71723,TCNU3085774,4500,GTHA,D39539183,G02,G04
R,45536.01096064815,45536.03700231481,51D43699,26323872,60R07107,43699,TRHU7536123,4500,HBQC,R39539185,B02,B08
R,45536.01099537037,45536.02945601852,51C09459,26323873,51R07133,09459,CIPU5250289,4500,HBCX,R39539186,B04,G04
R,45536.01107638889,45536.024872685186,51D38005,26323874,51R23646,38005,SZLU9902483,4530,HBCX,R39539187,D01,B08
D,45536.01111111111,45536.03188657408,50H35511,26323875,51R8609,35511,CAIU4365360,4500,GTHA,D39539184,A02,G04
D,45536.01115740741,45536.03,50H20293,26323876,,20293,FSCU8645896,4500,CAPR,E39539175,E02,E10
R,45536.01138888889,45536.02202546296,50H08077,26323877,50R03746,08077,MRSU4946409,4500,HBCX,R39539188,A02,B08
R,45536.01152777778,45536.02719907407,50LD21158,26323878,50RM01001,21158,BEAU4398646,4500,HBCX,R39539189,A02,G04
R,45536.01162037037,45536.02511574074,51C92745,26323879,51R07752,92745,HLHU8405871,4500,HBCX,R39539190,B04,B08
R,45536.01194444444,45536.020682870374,51C75755,26323880,50R04614,75755,SUDU8961662,4500,HBCX,R39539192,A02,B08
D,45536.012083333335,45536.03262731482,71H02143,26323881,71R00284,02143,DFSU7496365,4500,GTHA,D39539197,A02,A05
R,45536.012083333335,45536.03262731482,71H02143,26323881,71R00284,02143,SKHU8715956,4500,HBCX,R39539194,A02,A05
D,45536.01206018519,45536.01900462963,50H24292,26323882,50RM02373,24292,EMCU8794603,4500,GTHA,D39539191,B04,B08
R,45536.01224537037,45536.0243287037,50H35986,26323883,50RM02469,35986,NYKU0732485,4500,HBCX,R39539196,G02,G04
D,45536.01231481481,45536.02989583334,61C37480,26323884,61R01886,37480,TRHU8017117,4500,GTHA,D39539195,E04,G04
D,45536.01246527778,45536.037881944445,50H50439,26323885,51R30569,50439,SEGU5408041,4500,GTHA,D39539193,G02,B08
R,45536.012824074074,45536.02101851852,50H39903,26323886,51R50306,39903,EMCU9765549,4500,HBCX,R39539202,B02,A05
D,45536.01283564815,45536.02474537037,61C33827,26323887,61R00747,33827,HAHU5021436,4500,GTHA,D39539200,G02,G04
R,45536.01289351852,45536.03545138889,50H03605,26323888,50R04220,03605,TLLU1134715,4530,HBCX,R39539203,D02,G04
R,45536.01322916667,45536.07189814815,50H21622,26323889,51R31917,21622,SZLU9916358,4530,HBQC,R39539205,D02,G04
D,45536.01331018518,45536.0346875,50LD19471,26323890,51R34521,19471,REGU3212470,2200,GTHA,D39539204,G02,A05
R,45536.013865740744,45536.02208333334,50H20547,26323891,51R18492,20547,HALU2075231,2200,HBCX,R39539206,B02,E10
R,45536.01398148148,45536.023414351854,50H15310,26323892,50RM01680,15310,YMMU6607663,4500,HBCX,R39539207,A02,B08
R,45536.0140625,45536.02028935185,51D50069,26323893,51R50751,50069,REGU5135780,4500,HBCX,R39539208,A02,B08
R,45536.01422453704,45536.02125,51C74165,26323894,51R20658,74165,OOCU6877153,4500,HBCX,R39539209,G02,G04
R,45536.01445601852,45536.01940972222,70C10338,26323895,70R01246,10338,CAIU3759013,2200,HBCX,R39539210,A02,B08
R,45536.014560185184,45536.02607638889,51C47802,26323896,51R03789,47802,MRKU6722489,2200,HBCX,R39539211,B04,B08
R,45536.0146875,45536.036527777775,51C54135,26323897,50R01550,54135,NSSU7092250,4500,HBCX,R39539213,A02,G04
R,45536.01488425926,45536.02081018518,70H01282,26323898,50R04496,01282,TEMU2212431,2200,HBCX,R39539214,A02,A05
D,45536.014965277776,45536.04650462963,51C94808,26323899,51R14464,94808,EGHU8486170,4500,GTHA,D39513395,B04,B08
R,45536.01503472222,45536.040127314816,70C05100,26323900,70R01059,05100,AMFU3171187,2200,HBCX,R39539217,G02,G04
R,45536.015023148146,45536.02233796296,93C07549,26323901,93R00698,07549,TRHU3617084,2200,HBCX,R39539216,A02,A05
R,45536.01524305555,45536.03199074074,50H19972,26323902,50R03825,19972,MSDU8969089,4500,HBCX,R39539219,G02,G04
D,45536.01525462963,45536.04951388889,50H50290,26323903,51R10361,50290,TRHU8785943,4500,GTHA,D39513553,B04,B08
R,45536.01527777778,45536.02263888889,70C08197,26323904,70R01002,08197,TRHU2773040,2200,HBCX,R39539220,A02,B08
D,45536.0156712963,45536.04844907407,50H10249,26323905,51R34541,10249,TRHU2608832,2200,GTHA,D39539223,B02,B08
R,45536.01577546296,45536.03291666666,50H20896,26323906,51R34330,20896,IAAU2951385,2200,HBCX,R39538733,A03,B08
D,45536.01579861111,45536.07890046296,61C13579,26323907,61R00688,13579,GAOU6773610,4500,GTHA,D39539221,B02,E10
R,45536.01584490741,45536.04332175926,65C11980,26323908,65RM00005,11980,OOLU6430747,4530,HBCX,R39539224,D02,B08
R,45536.01608796296,45536.04143518519,50H01712,26323909,50R04428,01712,TCKU6830367,4500,HBCX,R39539226,G02,B08
D,45536.01608796296,45536.04143518519,50H01712,26323909,50R04428,01712,TCKU6779178,4500,GTHA,D39539228,G02,B08
D,45536.01609953704,45536.032789351855,51D47619,26323910,51R12225,47619,SEGU5054159,4500,GTHA,D39539225,A02,A05
R,45536.01625,45536.100625,51D70347,26323911,51R12646,70347,SZLU9471302,4530,HBCX,R39539227,D02,G04
